symbol,name,industry,sector,country,region,revenue,employees,market_cap
EET,Company 355,Retail,Industrials,Argentina,South America,600000000,16000,5500000000
FF,Company 356,Energy,Consumer Discretionary,Mexico,North America,700000000,17000,6000000000
GGV,Company 357,Consumer Goods,Energy,UK,Europe,800000000,18000,6500000000
HH,Company 358,Telecommunications,Communication Services,India,Asia,900000000,19000,7000000000
IIX,Company 359,Automotive,Consumer Staples,Chile,South America,1000000000,20000,7500000000
JJ,Company 360,Healthcare,Materials,USA,North America,100000000,1000,500000000
KKZ,Company 361,Pharmaceuticals,Utilities,Sweden,Europe,200000000,2000,1000000000
LL,Company 362,Technology,Real Estate,India,Asia,300000000,3000,1500000000
MMB,Company 363,Software,Healthcare,Brazil,South America,400000000,4000,2000000000
NN,Company 364,Financial Services,Technology,Canada,North America,500000000,5000,2500000000
OOD,Company 365,Banking,Financial Services,Germany,Europe,600000000,6000,3000000000
PP,Company 366,Manufacturing,Industrials,India,Asia,700000000,7000,3500000000
QQF,Company 367,Retail,Consumer Discretionary,Argentina,South America,800000000,8000,4000000000
RR,Company 368,Energy,Energy,Mexico,North America,900000000,9000,4500000000
SSH,Company 369,Consumer Goods,Communication Services,Italy,Europe,1000000000,10000,5000000000
TT,Company 370,Telecommunications,Consumer Staples,India,Asia,100000000,11000,5500000000
UUJ,Company 371,Automotive,Materials,Chile,South America,200000000,12000,6000000000
VV,Company 372,Healthcare,Utilities,USA,North America,300000000,13000,6500000000
WWL,Company 373,Pharmaceuticals,Real Estate,France,Europe,400000000,14000,7000000000
XX,Company 374,Technology,Healthcare,India,Asia,500000000,15000,7500000000
YYN,Company 375,Software,Technology,Brazil,South America,600000000,16000,500000000
ZZ,Company 376,Financial Services,Financial Services,Canada,North America,700000000,17000,1000000000
AAP,Company 377,Banking,Industrials,Spain,Europe,800000000,18000,1500000000
BB,Company 378,Manufacturing,Consumer Discretionary,India,Asia,900000000,19000,2000000000
CCR,Company 379,Retail,Energy,Argentina,South America,1000000000,20000,2500000000
DD,Company 380,Energy,Communication Services,Mexico,North America,100000000,1000,3000000000
EET,Company 381,Consumer Goods,Consumer Staples,Finland,Europe,200000000,2000,3500000000
FF,Company 382,Telecommunications,Materials,India,Asia,300000000,3000,4000000000
GGV,Company 383,Automotive,Utilities,Chile,South America,400000000,4000,4500000000
HH,Company 384,Healthcare,Real Estate,USA,North America,500000000,5000,5000000000
IIX,Company 385,Pharmaceuticals,Healthcare,UK,Europe,600000000,6000,5500000000
JJ,Company 386,Technology,Technology,India,Asia,700000000,7000,6000000000
KKZ,Company 387,Software,Financial Services,Brazil,South America,800000000,8000,6500000000
LL,Company 388,Financial Services,Industrials,Canada,North America,900000000,9000,7000000000
MMB,Company 389,Banking,Consumer Discretionary,Sweden,Europe,1000000000,10000,7500000000
NN,Company 390,Manufacturing,Energy,India,Asia,100000000,11000,500000000
OOD,Company 391,Retail,Communication Services,Argentina,South America,200000000,12000,1000000000
PP,Company 392,Energy,Consumer Staples,Mexico,North America,300000000,13000,1500000000
QQF,Company 393,Consumer Goods,Materials,Germany,Europe,400000000,14000,2000000000
RR,Company 394,Telecommunications,Utilities,India,Asia,500000000,15000,2500000000
SSH,Company 395,Automotive,Real Estate,Chile,South America,600000000,16000,3000000000
TT,Company 396,Healthcare,Healthcare,USA,North America,700000000,17000,3500000000
UUJ,Company 397,Pharmaceuticals,Technology,Italy,Europe,800000000,18000,4000000000
VV,Company 398,Technology,Financial Services,India,Asia,900000000,19000,4500000000
WWL,Company 399,Software,Industrials,Brazil,South America,1000000000,20000,5000000000
XX,Company 400,Financial Services,Consumer Discretionary,Canada,North America,100000000,1000,5500000000
YYN,Company 401,Banking,Energy,France,Europe,200000000,2000,6000000000
ZZ,Company 402,Manufacturing,Communication Services,India,Asia,300000000,3000,6500000000
AAP,Company 403,Retail,Consumer Staples,Argentina,South America,400000000,4000,7000000000
BB,Company 404,Energy,Materials,Mexico,North America,500000000,5000,7500000000
CCR,Company 405,Consumer Goods,Utilities,Spain,Europe,600000000,6000,500000000
DD,Company 406,Telecommunications,Real Estate,India,Asia,700000000,7000,1000000000
EET,Company 407,Automotive,Healthcare,Chile,South America,800000000,8000,1500000000
FF,Company 408,Healthcare,Technology,USA,North America,900000000,9000,2000000000
GGV,Company 409,Pharmaceuticals,Financial Services,Finland,Europe,1000000000,10000,2500000000
HH,Company 410,Technology,Industrials,India,Asia,100000000,11000,3000000000
IIX,Company 411,Software,Consumer Discretionary,Brazil,South America,200000000,12000,3500000000
JJ,Company 412,Financial Services,Energy,Canada,North America,300000000,13000,4000000000
KKZ,Company 413,Banking,Communication Services,UK,Europe,400000000,14000,4500000000
LL,Company 414,Manufacturing,Consumer Staples,India,Asia,500000000,15000,5000000000
MMB,Company 415,Retail,Materials,Argentina,South America,600000000,16000,5500000000
NN,Company 416,Energy,Utilities,Mexico,North America,700000000,17000,6000000000
OOD,Company 417,Consumer Goods,Real Estate,Sweden,Europe,800000000,18000,6500000000
PP,Company 418,Telecommunications,Healthcare,India,Asia,900000000,19000,7000000000
QQF,Company 419,Automotive,Technology,Chile,South America,1000000000,20000,7500000000
RR,Company 420,Healthcare,Financial Services,USA,North America,100000000,1000,500000000
SSH,Company 421,Pharmaceuticals,Industrials,Germany,Europe,200000000,2000,1000000000
TT,Company 422,Technology,Consumer Discretionary,India,Asia,300000000,3000,1500000000
UUJ,Company 423,Software,Energy,Brazil,South America,400000000,4000,2000000000
VV,Company 424,Financial Services,Communication Services,Canada,North America,500000000,5000,2500000000
WWL,Company 425,Banking,Consumer Staples,Italy,Europe,600000000,6000,3000000000
XX,Company 426,Manufacturing,Materials,India,Asia,700000000,7000,3500000000
YYN,Company 427,Retail,Utilities,Argentina,South America,800000000,8000,4000000000
ZZ,Company 428,Energy,Real Estate,Mexico,North America,900000000,9000,4500000000
AAP,Company 429,Consumer Goods,Healthcare,France,Europe,1000000000,10000,5000000000
BB,Company 430,Telecommunications,Technology,India,Asia,100000000,11000,5500000000
CCR,Company 431,Automotive,Financial Services,Chile,South America,200000000,12000,6000000000
DD,Company 432,Healthcare,Industrials,USA,North America,300000000,13000,6500000000
EET,Company 433,Pharmaceuticals,Consumer Discretionary,Spain,Europe,400000000,14000,7000000000
FF,Company 434,Technology,Energy,India,Asia,500000000,15000,7500000000
GGV,Company 435,Software,Communication Services,Brazil,South America,600000000,16000,500000000
HH,Company 436,Financial Services,Consumer Staples,Canada,North America,700000000,17000,1000000000
IIX,Company 437,Banking,Materials,Finland,Europe,800000000,18000,1500000000
JJ,Company 438,Manufacturing,Utilities,India,Asia,900000000,19000,2000000000
KKZ,Company 439,Retail,Real Estate,Argentina,South America,1000000000,20000,2500000000
LL,Company 440,Energy,Healthcare,Mexico,North America,100000000,1000,3000000000
MMB,Company 441,Consumer Goods,Technology,UK,Europe,200000000,2000,3500000000
NN,Company 442,Telecommunications,Financial Services,India,Asia,300000000,3000,4000000000
OOD,Company 443,Automotive,Industrials,Chile,South America,400000000,4000,4500000000
PP,Company 444,Healthcare,Consumer Discretionary,USA,North America,500000000,5000,5000000000
QQF,Company 445,Pharmaceuticals,Energy,Sweden,Europe,600000000,6000,5500000000
RR,Company 446,Technology,Communication Services,India,Asia,700000000,7000,6000000000
SSH,Company 447,Software,Consumer Staples,Brazil,South America,800000000,8000,6500000000
TT,Company 448,Financial Services,Materials,Canada,North America,900000000,9000,7000000000
UUJ,Company 449,Banking,Utilities,Germany,Europe,1000000000,10000,7500000000
VV,Company 450,Manufacturing,Real Estate,India,Asia,100000000,11000,500000000
WWL,Company 451,Retail,Healthcare,Argentina,South America,200000000,12000,1000000000
XX,Company 452,Energy,Technology,Mexico,North America,300000000,13000,1500000000
YYN,Company 453,Consumer Goods,Financial Services,Italy,Europe,400000000,14000,2000000000
ZZ,Company 454,Telecommunications,Industrials,India,Asia,500000000,15000,2500000000
AAP,Company 455,Automotive,Consumer Discretionary,Chile,South America,600000000,16000,3000000000
BB,Company 456,Healthcare,Energy,USA,North America,700000000,17000,3500000000
CCR,Company 457,Pharmaceuticals,Communication Services,France,Europe,800000000,18000,4000000000
DD,Company 458,Technology,Consumer Staples,India,Asia,900000000,19000,4500000000
EET,Company 459,Software,Materials,Brazil,South America,1000000000,20000,5000000000
FF,Company 460,Financial Services,Utilities,Canada,North America,100000000,1000,5500000000
GGV,Company 461,Banking,Real Estate,Spain,Europe,200000000,2000,6000000000
HH,Company 462,Manufacturing,Healthcare,India,Asia,300000000,3000,6500000000
IIX,Company 463,Retail,Technology,Argentina,South America,400000000,4000,7000000000
JJ,Company 464,Energy,Financial Services,Mexico,North America,500000000,5000,7500000000
KKZ,Company 465,Consumer Goods,Industrials,Finland,Europe,600000000,6000,500000000
LL,Company 466,Telecommunications,Consumer Discretionary,India,Asia,700000000,7000,1000000000
MMB,Company 467,Automotive,Energy,Chile,South America,800000000,8000,1500000000
NN,Company 468,Healthcare,Communication Services,USA,North America,900000000,9000,2000000000
OOD,Company 469,Pharmaceuticals,Consumer Staples,UK,Europe,1000000000,10000,2500000000
PP,Company 470,Technology,Materials,India,Asia,100000000,11000,3000000000
QQF,Company 471,Software,Utilities,Brazil,South America,200000000,12000,3500000000
RR,Company 472,Financial Services,Real Estate,Canada,North America,300000000,13000,4000000000
SSH,Company 473,Banking,Healthcare,Sweden,Europe,400000000,14000,4500000000
TT,Company 474,Manufacturing,Technology,India,Asia,500000000,15000,5000000000
UUJ,Company 475,Retail,Financial Services,Argentina,South America,600000000,16000,5500000000
VV,Company 476,Energy,Industrials,Mexico,North America,700000000,17000,6000000000
WWL,Company 477,Consumer Goods,Consumer Discretionary,Germany,Europe,800000000,18000,6500000000
XX,Company 478,Telecommunications,Energy,India,Asia,900000000,19000,7000000000
YYN,Company 479,Automotive,Communication Services,Chile,South America,1000000000,20000,7500000000
ZZ,Company 480,Healthcare,Consumer Staples,USA,North America,100000000,1000,500000000
AAP,Company 481,Pharmaceuticals,Materials,Italy,Europe,200000000,2000,1000000000
BB,Company 482,Technology,Utilities,India,Asia,300000000,3000,1500000000
CCR,Company 483,Software,Real Estate,Brazil,South America,400000000,4000,2000000000
DD,Company 484,Financial Services,Healthcare,Canada,North America,500000000,5000,2500000000
EET,Company 485,Banking,Technology,France,Europe,600000000,6000,3000000000
FF,Company 486,Manufacturing,Financial Services,India,Asia,700000000,7000,3500000000
GGV,Company 487,Retail,Industrials,Argentina,South America,800000000,8000,4000000000
HH,Company 488,Energy,Consumer Discretionary,Mexico,North America,900000000,9000,4500000000
IIX,Company 489,Consumer Goods,Energy,Spain,Europe,1000000000,10000,5000000000
JJ,Company 490,Telecommunications,Communication Services,India,Asia,100000000,11000,5500000000
KKZ,Company 491,Automotive,Consumer Staples,Chile,South America,200000000,12000,6000000000
LL,Company 492,Healthcare,Materials,USA,North America,300000000,13000,6500000000
MMB,Company 493,Pharmaceuticals,Utilities,Finland,Europe,400000000,14000,7000000000
NN,Company 494,Technology,Real Estate,India,Asia,500000000,15000,7500000000
OOD,Company 495,Software,Healthcare,Brazil,South America,600000000,16000,500000000
PP,Company 496,Financial Services,Technology,Canada,North America,700000000,17000,1000000000
QQF,Company 497,Banking,Financial Services,UK,Europe,800000000,18000,1500000000
RR,Company 498,Manufacturing,Industrials,India,Asia,900000000,19000,2000000000
SSH,Company 499,Retail,Consumer Discretionary,Argentina,South America,1000000000,20000,2500000000
TT,Company 500,Energy,Energy,Mexico,North America,100000000,1000,3000000000
UUJ,Company 501,Consumer Goods,Communication Services,Sweden,Europe,200000000,2000,3500000000
VV,Company 502,Telecommunications,Consumer Staples,India,Asia,300000000,3000,4000000000
WWL,Company 503,Automotive,Materials,Chile,South America,400000000,4000,4500000000
XX,Company 504,Healthcare,Utilities,USA,North America,500000000,5000,5000000000
YYN,Company 505,Pharmaceuticals,Real Estate,Germany,Europe,600000000,6000,5500000000
ZZ,Company 506,Technology,Healthcare,India,Asia,700000000,7000,6000000000
AAP,Company 507,Software,Technology,Brazil,South America,800000000,8000,6500000000
BB,Company 508,Financial Services,Financial Services,Canada,North America,900000000,9000,7000000000
CCR,Company 509,Banking,Industrials,Italy,Europe,1000000000,10000,7500000000
DD,Company 510,Manufacturing,Consumer Discretionary,India,Asia,100000000,11000,500000000
EET,Company 511,Retail,Energy,Argentina,South America,200000000,12000,1000000000
FF,Company 512,Energy,Communication Services,Mexico,North America,300000000,13000,1500000000
GGV,Company 513,Consumer Goods,Consumer Staples,France,Europe,400000000,14000,2000000000
HH,Company 514,Telecommunications,Materials,India,Asia,500000000,15000,2500000000
IIX,Company 515,Automotive,Utilities,Chile,South America,600000000,16000,3000000000
JJ,Company 516,Healthcare,Real Estate,USA,North America,700000000,17000,3500000000
KKZ,Company 517,Pharmaceuticals,Healthcare,Spain,Europe,800000000,18000,4000000000
LL,Company 518,Technology,Technology,India,Asia,900000000,19000,4500000000
MMB,Company 519,Software,Financial Services,Brazil,South America,1000000000,20000,5000000000
NN,Company 520,Financial Services,Industrials,Canada,North America,100000000,1000,5500000000
OOD,Company 521,Banking,Consumer Discretionary,Finland,Europe,200000000,2000,6000000000
PP,Company 522,Manufacturing,Energy,India,Asia,300000000,3000,6500000000
QQF,Company 523,Retail,Communication Services,Argentina,South America,400000000,4000,7000000000
RR,Company 524,Energy,Consumer Staples,Mexico,North America,500000000,5000,7500000000
SSH,Company 525,Consumer Goods,Materials,UK,Europe,600000000,6000,500000000
TT,Company 526,Telecommunications,Utilities,India,Asia,700000000,7000,1000000000
UUJ,Company 527,Automotive,Real Estate,Chile,South America,800000000,8000,1500000000
VV,Company 528,Healthcare,Healthcare,USA,North America,900000000,9000,2000000000
WWL,Company 529,Pharmaceuticals,Technology,Sweden,Europe,1000000000,10000,2500000000
XX,Company 530,Technology,Financial Services,India,Asia,100000000,11000,3000000000
YYN,Company 531,Software,Industrials,Brazil,South America,200000000,12000,3500000000
ZZ,Company 532,Financial Services,Consumer Discretionary,Canada,North America,300000000,13000,4000000000
AAP,Company 533,Banking,Energy,Germany,Europe,400000000,14000,4500000000
BB,Company 534,Manufacturing,Communication Services,India,Asia,500000000,15000,5000000000
CCR,Company 535,Retail,Consumer Staples,Argentina,South America,600000000,16000,5500000000
DD,Company 536,Energy,Materials,Mexico,North America,700000000,17000,6000000000
EET,Company 537,Consumer Goods,Utilities,Italy,Europe,800000000,18000,6500000000
FF,Company 538,Telecommunications,Real Estate,India,Asia,900000000,19000,7000000000
GGV,Company 539,Automotive,Healthcare,Chile,South America,1000000000,20000,7500000000
HH,Company 540,Healthcare,Technology,USA,North America,100000000,1000,500000000
IIX,Company 541,Pharmaceuticals,Financial Services,France,Europe,200000000,2000,1000000000
JJ,Company 542,Technology,Industrials,India,Asia,300000000,3000,1500000000
KKZ,Company 543,Software,Consumer Discretionary,Brazil,South America,400000000,4000,2000000000
LL,Company 544,Financial Services,Energy,Canada,North America,500000000,5000,2500000000
MMB,Company 545,Banking,Communication Services,Spain,Europe,600000000,6000,3000000000
NN,Company 546,Manufacturing,Consumer Staples,India,Asia,700000000,7000,3500000000
OOD,Company 547,Retail,Materials,Argentina,South America,800000000,8000,4000000000
PP,Company 548,Energy,Utilities,Mexico,North America,900000000,9000,4500000000
QQF,Company 549,Consumer Goods,Real Estate,Finland,Europe,1000000000,10000,5000000000
RR,Company 550,Telecommunications,Healthcare,India,Asia,100000000,11000,5500000000
SSH,Company 551,Automotive,Technology,Chile,South America,200000000,12000,6000000000
TT,Company 552,Healthcare,Financial Services,USA,North America,300000000,13000,6500000000
UUJ,Company 553,Pharmaceuticals,Industrials,UK,Europe,400000000,14000,7000000000
VV,Company 554,Technology,Consumer Discretionary,India,Asia,500000000,15000,7500000000
WWL,Company 555,Software,Energy,Brazil,South America,600000000,16000,500000000
XX,Company 556,Financial Services,Communication Services,Canada,North America,700000000,17000,1000000000
YYN,Company 557,Banking,Consumer Staples,Sweden,Europe,800000000,18000,1500000000
ZZ,Company 558,Manufacturing,Materials,India,Asia,900000000,19000,2000000000
AAP,Company 559,Retail,Utilities,Argentina,South America,1000000000,20000,2500000000
BB,Company 560,Energy,Real Estate,Mexico,North America,100000000,1000,3000000000
CCR,Company 561,Consumer Goods,Healthcare,Germany,Europe,200000000,2000,3500000000
DD,Company 562,Telecommunications,Technology,India,Asia,300000000,3000,4000000000
EET,Company 563,Automotive,Financial Services,Chile,South America,400000000,4000,4500000000
FF,Company 564,Healthcare,Industrials,USA,North America,500000000,5000,5000000000
GGV,Company 565,Pharmaceuticals,Consumer Discretionary,Italy,Europe,600000000,6000,5500000000
HH,Company 566,Technology,Energy,India,Asia,700000000,7000,6000000000
IIX,Company 567,Software,Communication Services,Brazil,South America,800000000,8000,6500000000
JJ,Company 568,Financial Services,Consumer Staples,Canada,North America,900000000,9000,7000000000
KKZ,Company 569,Banking,Materials,France,Europe,1000000000,10000,7500000000
LL,Company 570,Manufacturing,Utilities,India,Asia,100000000,11000,500000000
MMB,Company 571,Retail,Real Estate,Argentina,South America,200000000,12000,1000000000
NN,Company 572,Energy,Healthcare,Mexico,North America,300000000,13000,1500000000
OOD,Company 573,Consumer Goods,Technology,Spain,Europe,400000000,14000,2000000000
PP,Company 574,Telecommunications,Financial Services,India,Asia,500000000,15000,2500000000
QQF,Company 575,Automotive,Industrials,Chile,South America,600000000,16000,3000000000
RR,Company 576,Healthcare,Consumer Discretionary,USA,North America,700000000,17000,3500000000
SSH,Company 577,Pharmaceuticals,Energy,Finland,Europe,800000000,18000,4000000000
TT,Company 578,Technology,Communication Services,India,Asia,900000000,19000,4500000000
UUJ,Company 579,Software,Consumer Staples,Brazil,South America,1000000000,20000,5000000000
VV,Company 580,Financial Services,Materials,Canada,North America,100000000,1000,5500000000
WWL,Company 581,Banking,Utilities,UK,Europe,200000000,2000,6000000000
XX,Company 582,Manufacturing,Real Estate,India,Asia,300000000,3000,6500000000
YYN,Company 583,Retail,Healthcare,Argentina,South America,400000000,4000,7000000000
ZZ,Company 584,Energy,Technology,Mexico,North America,500000000,5000,7500000000
AAP,Company 585,Consumer Goods,Financial Services,Sweden,Europe,600000000,6000,500000000
BB,Company 586,Telecommunications,Industrials,India,Asia,700000000,7000,1000000000
CCR,Company 587,Automotive,Consumer Discretionary,Chile,South America,800000000,8000,1500000000
DD,Company 588,Healthcare,Energy,USA,North America,900000000,9000,2000000000
EET,Company 589,Pharmaceuticals,Communication Services,Germany,Europe,1000000000,10000,2500000000
FF,Company 590,Technology,Consumer Staples,India,Asia,100000000,11000,3000000000
GGV,Company 591,Software,Materials,Brazil,South America,200000000,12000,3500000000
HH,Company 592,Financial Services,Utilities,Canada,North America,300000000,13000,4000000000
IIX,Company 593,Banking,Real Estate,Italy,Europe,400000000,14000,4500000000
JJ,Company 594,Manufacturing,Healthcare,India,Asia,500000000,15000,5000000000
KKZ,Company 595,Retail,Technology,Argentina,South America,600000000,16000,5500000000
LL,Company 596,Energy,Financial Services,Mexico,North America,700000000,17000,6000000000
MMB,Company 597,Consumer Goods,Industrials,France,Europe,800000000,18000,6500000000
NN,Company 598,Telecommunications,Consumer Discretionary,India,Asia,900000000,19000,7000000000
OOD,Company 599,Automotive,Energy,Chile,South America,1000000000,20000,7500000000
PP,Company 600,Healthcare,Communication Services,USA,North America,100000000,1000,500000000
QQF,Company 601,Pharmaceuticals,Consumer Staples,Spain,Europe,200000000,2000,1000000000
RR,Company 602,Technology,Materials,India,Asia,300000000,3000,1500000000
SSH,Company 603,Software,Utilities,Brazil,South America,400000000,4000,2000000000
TT,Company 604,Financial Services,Real Estate,Canada,North America,500000000,5000,2500000000
UUJ,Company 605,Banking,Healthcare,Finland,Europe,600000000,6000,3000000000
VV,Company 606,Manufacturing,Technology,India,Asia,700000000,7000,3500000000
WWL,Company 607,Retail,Financial Services,Argentina,South America,800000000,8000,4000000000
XX,Company 608,Energy,Industrials,Mexico,North America,900000000,9000,4500000000
YYN,Company 609,Consumer Goods,Consumer Discretionary,UK,Europe,1000000000,10000,5000000000
ZZ,Company 610,Telecommunications,Energy,India,Asia,100000000,11000,5500000000
AAP,Company 611,Automotive,Communication Services,Chile,South America,200000000,12000,6000000000
BB,Company 612,Healthcare,Consumer Staples,USA,North America,300000000,13000,6500000000
CCR,Company 613,Pharmaceuticals,Materials,Sweden,Europe,400000000,14000,7000000000
DD,Company 614,Technology,Utilities,India,Asia,500000000,15000,7500000000
EET,Company 615,Software,Real Estate,Brazil,South America,600000000,16000,500000000
FF,Company 616,Financial Services,Healthcare,Canada,North America,700000000,17000,1000000000
GGV,Company 617,Banking,Technology,Germany,Europe,800000000,18000,1500000000
HH,Company 618,Manufacturing,Financial Services,India,Asia,900000000,19000,2000000000
IIX,Company 619,Retail,Industrials,Argentina,South America,1000000000,20000,2500000000
JJ,Company 620,Energy,Consumer Discretionary,Mexico,North America,100000000,1000,3000000000
KKZ,Company 621,Consumer Goods,Energy,Italy,Europe,200000000,2000,3500000000
LL,Company 622,Telecommunications,Communication Services,India,Asia,300000000,3000,4000000000
MMB,Company 623,Automotive,Consumer Staples,Chile,South America,400000000,4000,4500000000
NN,Company 624,Healthcare,Materials,USA,North America,500000000,5000,5000000000
OOD,Company 625,Pharmaceuticals,Utilities,France,Europe,600000000,6000,5500000000
PP,Company 626,Technology,Real Estate,India,Asia,700000000,7000,6000000000
QQF,Company 627,Software,Healthcare,Brazil,South America,800000000,8000,6500000000
RR,Company 628,Financial Services,Technology,Canada,North America,900000000,9000,7000000000
SSH,Company 629,Banking,Financial Services,Spain,Europe,1000000000,10000,7500000000
TT,Company 630,Manufacturing,Industrials,India,Asia,100000000,11000,500000000
UUJ,Company 631,Retail,Consumer Discretionary,Argentina,South America,200000000,12000,1000000000
VV,Company 632,Energy,Energy,Mexico,North America,300000000,13000,1500000000
WWL,Company 633,Consumer Goods,Communication Services,Finland,Europe,400000000,14000,2000000000
XX,Company 634,Telecommunications,Consumer Staples,India,Asia,500000000,15000,2500000000
YYN,Company 635,Automotive,Materials,Chile,South America,600000000,16000,3000000000
ZZ,Company 636,Healthcare,Utilities,USA,North America,700000000,17000,3500000000
AAP,Company 637,Pharmaceuticals,Real Estate,UK,Europe,800000000,18000,4000000000
BB,Company 638,Technology,Healthcare,India,Asia,900000000,19000,4500000000
CCR,Company 639,Software,Technology,Brazil,South America,1000000000,20000,5000000000
DD,Company 640,Financial Services,Financial Services,Canada,North America,100000000,1000,5500000000
EET,Company 641,Banking,Industrials,Sweden,Europe,200000000,2000,6000000000
FF,Company 642,Manufacturing,Consumer Discretionary,India,Asia,300000000,3000,6500000000
GGV,Company 643,Retail,Energy,Argentina,South America,400000000,4000,7000000000
HH,Company 644,Energy,Communication Services,Mexico,North America,500000000,5000,7500000000
IIX,Company 645,Consumer Goods,Consumer Staples,Germany,Europe,600000000,6000,500000000
JJ,Company 646,Telecommunications,Materials,India,Asia,700000000,7000,1000000000
KKZ,Company 647,Automotive,Utilities,Chile,South America,800000000,8000,1500000000
LL,Company 648,Healthcare,Real Estate,USA,North America,900000000,9000,2000000000
MMB,Company 649,Pharmaceuticals,Healthcare,Italy,Europe,1000000000,10000,2500000000
NN,Company 650,Technology,Technology,India,Asia,100000000,11000,3000000000
OOD,Company 651,Software,Financial Services,Brazil,South America,200000000,12000,3500000000
PP,Company 652,Financial Services,Industrials,Canada,North America,300000000,13000,4000000000
QQF,Company 653,Banking,Consumer Discretionary,France,Europe,400000000,14000,4500000000
RR,Company 654,Manufacturing,Energy,India,Asia,500000000,15000,5000000000
SSH,Company 655,Retail,Communication Services,Argentina,South America,600000000,16000,5500000000
TT,Company 656,Energy,Consumer Staples,Mexico,North America,700000000,17000,6000000000
UUJ,Company 657,Consumer Goods,Materials,Spain,Europe,800000000,18000,6500000000
VV,Company 658,Telecommunications,Utilities,India,Asia,900000000,19000,7000000000
WWL,Company 659,Automotive,Real Estate,Chile,South America,1000000000,20000,7500000000
XX,Company 660,Healthcare,Healthcare,USA,North America,100000000,1000,500000000
YYN,Company 661,Pharmaceuticals,Technology,Finland,Europe,200000000,2000,1000000000
ZZ,Company 662,Technology,Financial Services,India,Asia,300000000,3000,1500000000
AAP,Company 663,Software,Industrials,Brazil,South America,400000000,4000,2000000000
BB,Company 664,Financial Services,Consumer Discretionary,Canada,North America,500000000,5000,2500000000
CCR,Company 665,Banking,Energy,UK,Europe,600000000,6000,3000000000
DD,Company 666,Manufacturing,Communication Services,India,Asia,700000000,7000,3500000000
EET,Company 667,Retail,Consumer Staples,Argentina,South America,800000000,8000,4000000000
FF,Company 668,Energy,Materials,Mexico,North America,900000000,9000,4500000000
GGV,Company 669,Consumer Goods,Utilities,Sweden,Europe,1000000000,10000,5000000000
HH,Company 670,Telecommunications,Real Estate,India,Asia,100000000,11000,5500000000
IIX,Company 671,Automotive,Healthcare,Chile,South America,200000000,12000,6000000000
JJ,Company 672,Healthcare,Technology,USA,North America,300000000,13000,6500000000
KKZ,Company 673,Pharmaceuticals,Financial Services,Germany,Europe,400000000,14000,7000000000
LL,Company 674,Technology,Industrials,India,Asia,500000000,15000,7500000000
MMB,Company 675,Software,Consumer Discretionary,Brazil,South America,600000000,16000,500000000
NN,Company 676,Financial Services,Energy,Canada,North America,700000000,17000,1000000000
OOD,Company 677,Banking,Communication Services,Italy,Europe,800000000,18000,1500000000
PP,Company 678,Manufacturing,Consumer Staples,India,Asia,900000000,19000,2000000000
QQF,Company 679,Retail,Materials,Argentina,South America,1000000000,20000,2500000000
RR,Company 680,Energy,Utilities,Mexico,North America,100000000,1000,3000000000
SSH,Company 681,Consumer Goods,Real Estate,France,Europe,200000000,2000,3500000000
TT,Company 682,Telecommunications,Healthcare,India,Asia,300000000,3000,4000000000
UUJ,Company 683,Automotive,Technology,Chile,South America,400000000,4000,4500000000
VV,Company 684,Healthcare,Financial Services,USA,North America,500000000,5000,5000000000
WWL,Company 685,Pharmaceuticals,Industrials,Spain,Europe,600000000,6000,5500000000
XX,Company 686,Technology,Consumer Discretionary,India,Asia,700000000,7000,6000000000
YYN,Company 687,Software,Energy,Brazil,South America,800000000,8000,6500000000
ZZ,Company 688,Financial Services,Communication Services,Canada,North America,900000000,9000,7000000000
AAP,Company 689,Banking,Consumer Staples,Finland,Europe,1000000000,10000,7500000000
BB,Company 690,Manufacturing,Materials,India,Asia,100000000,11000,500000000
CCR,Company 691,Retail,Utilities,Argentina,South America,200000000,12000,1000000000
DD,Company 692,Energy,Real Estate,Mexico,North America,300000000,13000,1500000000
EET,Company 693,Consumer Goods,Healthcare,UK,Europe,400000000,14000,2000000000
FF,Company 694,Telecommunications,Technology,India,Asia,500000000,15000,2500000000
GGV,Company 695,Automotive,Financial Services,Chile,South America,600000000,16000,3000000000
HH,Company 696,Healthcare,Industrials,USA,North America,700000000,17000,3500000000
IIX,Company 697,Pharmaceuticals,Consumer Discretionary,Sweden,Europe,800000000,18000,4000000000
JJ,Company 698,Technology,Energy,India,Asia,900000000,19000,4500000000
KKZ,Company 699,Software,Communication Services,Brazil,South America,1000000000,20000,5000000000
LL,Company 700,Financial Services,Consumer Staples,Canada,North America,100000000,1000,5500000000
MMB,Company 701,Banking,Materials,Germany,Europe,200000000,2000,6000000000
NN,Company 702,Manufacturing,Utilities,India,Asia,300000000,3000,6500000000
OOD,Company 703,Retail,Real Estate,Argentina,South America,400000000,4000,7000000000
PP,Company 704,Energy,Healthcare,Mexico,North America,500000000,5000,7500000000
QQF,Company 705,Consumer Goods,Technology,Italy,Europe,600000000,6000,500000000
RR,Company 706,Telecommunications,Financial Services,India,Asia,700000000,7000,1000000000
SSH,Company 707,Automotive,Industrials,Chile,South America,800000000,8000,1500000000
TT,Company 708,Healthcare,Consumer Discretionary,USA,North America,900000000,9000,2000000000
UUJ,Company 709,Pharmaceuticals,Energy,France,Europe,1000000000,10000,2500000000
